state_alpha,county_name,county_ansi,state_fips_code,year,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $","AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $","AG SERVICES, OTHER - EXPENSE, MEASURED IN $","AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $","ANIMAL TOTALS - EXPENSE, MEASURED IN $","ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","FEED - EXPENSE, MEASURED IN $","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","INTEREST - EXPENSE, MEASURED IN $","INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $","INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $","LABOR, CONTRACT - EXPENSE, MEASURED IN $","LABOR, HIRED - EXPENSE, MEASURED IN $","LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $","LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $","RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $","SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $","SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $","TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $","ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $"
MS,CALHOUN,013,28,2012,713000,916000,3448000,1047000,1289000,NA,6849000,6210000,59098000,2365000,7449000,5564000,2107000,1050000,1057000,1567000,11278000,2907000,1127000,3775000,4685000,4846000,1201000,NA
MS,CARROLL,015,28,2007,608000,337000,1145000,324000,908000,636000,2293000,2484000,23909000,1234000,3301000,2220000,2354000,611000,1743000,220000,1465000,NA,147000,2212000,1634000,2464000,1187000,272000
MS,CARROLL,015,28,2012,584000,397000,1502000,491000,1354000,211000,3045000,3071000,30579000,1787000,4345000,3019000,2050000,604000,1446000,308000,1963000,403000,359000,3362000,2885000,2308000,1180000,1143000
MS,CHICKASAW,017,28,2007,259000,252000,1166000,680000,7121000,178000,1309000,2258000,37566000,12666000,2355000,1869000,1579000,593000,986000,NA,503000,NA,756000,1149000,1473000,2126000,1077000,6942000
MS,CHICKASAW,017,28,2012,868000,299000,1258000,815000,10110000,370000,1913000,2750000,45816000,11708000,3476000,2605000,1870000,435000,1435000,611000,2978000,1843000,892000,1473000,2165000,2472000,1193000,9741000
MS,CHOCTAW,019,28,2007,NA,NA,442000,172000,5172000,98000,195000,689000,14334000,5101000,357000,581000,589000,NA,NA,79000,282000,69000,55000,30000,167000,658000,462000,5074000
MS,CHOCTAW,019,28,2012,292000,17000,1148000,271000,2787000,65000,301000,563000,11646000,3924000,258000,484000,297000,18000,279000,54000,437000,61000,213000,55000,194000,712000,414000,2722000
MS,CLAIBORNE,021,28,2007,296000,NA,325000,140000,1179000,188000,670000,1671000,9648000,703000,1705000,702000,511000,164000,347000,NA,579000,465000,NA,530000,392000,1124000,550000,991000
MS,CLAIBORNE,021,28,2012,157000,NA,595000,196000,NA,144000,498000,606000,9758000,NA,1284000,802000,423000,38000,385000,288000,780000,459000,275000,853000,932000,810000,480000,NA
MS,CLARKE,023,28,2007,NA,40000,1514000,276000,2851000,171000,85000,921000,18141000,7914000,514000,645000,511000,64000,447000,135000,790000,NA,94000,108000,232000,1026000,1147000,2680000
MS,CLARKE,023,28,2012,294000,26000,519000,459000,3966000,442000,119000,1234000,27537000,17865000,420000,887000,759000,78000,681000,343000,364000,NA,131000,87000,116000,817000,498000,3524000
MS,CLAY,025,28,2007,668000,51000,1345000,1529000,7687000,1651000,445000,1341000,61339000,17327000,1523000,2523000,1501000,515000,985000,NA,NA,NA,301000,3018000,418000,6176000,842000,6036000
MS,CLAY,025,28,2012,768000,47000,1470000,1560000,7917000,1582000,489000,1436000,62663000,19221000,1222000,2495000,1326000,158000,1167000,NA,203000,NA,355000,3035000,505000,5875000,764000,6334000
MS,COAHOMA,027,28,2007,4006000,3622000,10462000,1720000,230000,NA,17091000,7103000,117220000,2951000,12835000,10478000,3488000,2313000,1175000,366000,10334000,1751000,299000,18814000,10744000,9231000,847000,NA
MS,COAHOMA,027,28,2012,2958000,4902000,10731000,2537000,NA,NA,25402000,8823000,151768000,1440000,17912000,15187000,3457000,2364000,1092000,1114000,11160000,2815000,442000,26590000,16513000,10671000,NA,NA
MS,COPIAH,029,28,2007,92000,116000,3376000,1036000,9642000,230000,227000,2726000,49727000,24143000,970000,1703000,1149000,157000,992000,731000,3051000,787000,165000,125000,303000,2037000,1026000,9412000
MS,COPIAH,029,28,2012,703000,70000,797000,1365000,9275000,418000,362000,2506000,47061000,23203000,844000,1522000,1489000,189000,1300000,734000,2760000,620000,171000,383000,241000,2374000,938000,8857000
MS,COVINGTON,031,28,2007,783000,77000,10234000,2450000,32506000,944000,623000,6115000,128274000,64687000,1925000,2682000,3994000,1403000,2592000,518000,2538000,363000,547000,391000,795000,3254000,815000,31563000
MS,COVINGTON,031,28,2012,2443000,197000,10139000,2951000,46563000,2072000,1468000,8278000,176100000,90938000,2311000,3241000,3949000,1450000,2499000,1248000,4185000,1230000,342000,962000,1571000,3048000,888000,44491000
MS,DE SOTO,033,28,2007,724000,1389000,1790000,403000,386000,73000,2827000,2939000,31655000,1745000,4284000,2594000,1770000,937000,834000,441000,2223000,320000,277000,4321000,3083000,2456000,1219000,313000
MS,DE SOTO,033,28,2012,883000,1270000,2563000,763000,469000,95000,4954000,3393000,42002000,2623000,5536000,2467000,1434000,612000,822000,948000,3651000,1466000,296000,6600000,4919000,2104000,817000,374000
MS,FORREST,035,28,2007,NA,NA,1432000,212000,1781000,163000,413000,1137000,18549000,8669000,608000,1129000,495000,91000,404000,139000,844000,156000,280000,165000,343000,1253000,428000,1618000
MS,FORREST,035,28,2012,146000,NA,699000,489000,2039000,120000,487000,1799000,18265000,8886000,648000,698000,662000,122000,540000,202000,748000,176000,178000,214000,664000,1040000,NA,1919000
MS,FRANKLIN,037,28,2007,15000,6000,405000,81000,460000,136000,117000,470000,5235000,2043000,343000,372000,275000,65000,210000,23000,113000,58000,NA,77000,131000,396000,378000,324000
MS,FRANKLIN,037,28,2012,113000,2000,269000,228000,891000,343000,199000,670000,8588000,4488000,286000,534000,321000,45000,276000,20000,249000,92000,49000,112000,145000,422000,309000,548000
MS,GEORGE,039,28,2007,217000,108000,781000,488000,809000,221000,943000,1675000,16883000,2302000,2960000,1210000,813000,199000,615000,437000,2224000,635000,219000,388000,878000,1604000,719000,589000
MS,GEORGE,039,28,2012,139000,343000,1807000,698000,538000,375000,1628000,1852000,23311000,2493000,3749000,2184000,1546000,471000,1075000,269000,2827000,700000,405000,446000,1843000,2061000,737000,163000
MS,GREENE,041,28,2007,71000,29000,1868000,455000,2579000,198000,543000,1038000,24129000,11129000,780000,765000,798000,72000,726000,NA,316000,26000,NA,125000,877000,985000,509000,2381000
MS,GREENE,041,28,2012,353000,91000,993000,501000,2754000,797000,1528000,1697000,28510000,13575000,1604000,1242000,816000,201000,615000,307000,1135000,135000,285000,656000,1054000,1272000,629000,1957000
MS,GRENADA,043,28,2007,NA,NA,810000,172000,158000,133000,616000,1195000,8865000,381000,1145000,928000,227000,114000,113000,185000,526000,229000,NA,1358000,600000,980000,692000,25000
MS,GRENADA,043,28,2012,88000,28000,382000,196000,1690000,340000,789000,1145000,10917000,1109000,1684000,770000,630000,114000,516000,39000,564000,94000,91000,527000,803000,1049000,569000,1350000
MS,HANCOCK,045,28,2007,71000,NA,407000,201000,356000,300000,149000,800000,5740000,651000,881000,375000,702000,120000,582000,NA,523000,217000,136000,40000,132000,871000,309000,56000
MS,HANCOCK,045,28,2012,71000,18000,260000,158000,289000,215000,46000,397000,4651000,1256000,536000,361000,254000,111000,143000,131000,371000,125000,240000,169000,81000,312000,339000,75000
MS,HARRISON,047,28,2007,87000,20000,506000,188000,312000,238000,104000,981000,6147000,1107000,602000,408000,778000,71000,707000,92000,737000,39000,62000,32000,170000,718000,289000,75000
MS,HARRISON,047,28,2012,124000,7000,386000,197000,233000,188000,91000,652000,4962000,1078000,485000,386000,213000,96000,116000,223000,681000,NA,109000,89000,103000,315000,351000,44000
MS,HINDS,049,28,2007,188000,262000,7642000,773000,8296000,NA,2377000,4687000,64317000,24984000,3284000,2345000,1371000,407000,964000,1560000,2985000,1283000,197000,1328000,1366000,3494000,2061000,NA
MS,HINDS,049,28,2012,915000,109000,2068000,948000,11284000,958000,2355000,4302000,71022000,29389000,3270000,4458000,1468000,346000,1122000,595000,3282000,1513000,593000,2115000,2550000,4223000,1992000,10325000
MS,HOLMES,051,28,2007,1432000,2154000,3552000,639000,354000,137000,8642000,4199000,52131000,753000,6643000,4044000,1698000,975000,723000,135000,3261000,765000,379000,8253000,5347000,4028000,1197000,217000
MS,HOLMES,051,28,2012,3977000,4044000,6716000,1016000,299000,229000,8330000,5122000,71055000,1057000,8835000,5551000,2405000,841000,1564000,336000,4334000,2393000,306000,11758000,7395000,3788000,1212000,70000
MS,HUMPHREYS,053,28,2007,2854000,2472000,6039000,3195000,1532000,NA,10512000,6664000,97807000,16900000,8000000,9304000,3004000,1308000,1695000,720000,8205000,2311000,302000,8903000,6920000,8089000,1157000,NA
MS,HUMPHREYS,053,28,2012,4609000,3561000,6030000,2460000,294000,NA,14724000,7850000,106762000,9200000,11308000,7941000,3649000,2414000,1235000,999000,7577000,2013000,624000,14190000,11415000,7805000,999000,NA
MS,ISSAQUENA,055,28,2007,719000,602000,2661000,381000,NA,NA,3905000,1869000,28588000,NA,4157000,2378000,1607000,979000,628000,205000,1667000,541000,180000,3586000,3476000,2322000,498000,NA
MS,ISSAQUENA,055,28,2012,2351000,1321000,2406000,435000,NA,NA,5410000,3394000,38029000,26000,4416000,2878000,1964000,988000,976000,48000,2457000,1394000,185000,5164000,5460000,3094000,599000,NA
MS,ITAWAMBA,057,28,2007,20000,13000,1331000,232000,3256000,114000,289000,1220000,18783000,8534000,896000,950000,653000,165000,489000,34000,250000,51000,149000,263000,470000,1008000,582000,3142000
MS,ITAWAMBA,057,28,2012,106000,NA,554000,190000,793000,140000,464000,1559000,10670000,2144000,1166000,1098000,614000,170000,444000,28000,366000,92000,227000,426000,815000,1170000,738000,653000
MS,JACKSON,059,28,2007,59000,14000,683000,209000,1451000,215000,320000,1927000,9468000,1108000,1243000,582000,698000,181000,517000,129000,650000,345000,114000,115000,453000,1233000,522000,1237000
MS,JACKSON,059,28,2012,51000,92000,1324000,385000,465000,226000,1115000,2656000,15759000,1584000,2589000,1115000,812000,279000,533000,204000,1776000,262000,192000,430000,1766000,1387000,663000,239000
MS,JASPER,061,28,2007,NA,NA,7809000,1749000,11152000,433000,249000,3336000,81272000,51878000,580000,1834000,1933000,118000,1815000,249000,856000,221000,169000,98000,206000,1645000,940000,10719000
MS,JASPER,061,28,2012,995000,65000,1879000,1762000,11522000,1634000,168000,4331000,77304000,52353000,462000,1751000,1573000,180000,1393000,454000,1115000,281000,437000,514000,235000,1595000,860000,9887000
MS,JEFFERSON,063,28,2007,72000,96000,1880000,452000,1976000,159000,1047000,949000,22905000,8159000,2027000,2186000,744000,251000,493000,138000,612000,192000,65000,730000,728000,1464000,593000,1817000
MS,JEFFERSON,063,28,2012,184000,157000,1644000,870000,1919000,371000,1285000,1405000,24081000,8936000,1969000,1233000,852000,334000,518000,124000,789000,318000,179000,948000,1654000,910000,605000,1548000
MS,JEFFERSON DAVIS,065,28,2007,79000,12000,2809000,661000,4844000,364000,176000,2125000,32544000,16221000,1173000,1393000,1121000,489000,632000,370000,1239000,613000,205000,130000,269000,1559000,486000,4480000
MS,JEFFERSON DAVIS,065,28,2012,293000,20000,468000,596000,4018000,1268000,97000,1754000,28706000,18252000,713000,880000,744000,303000,441000,147000,810000,105000,274000,147000,176000,836000,506000,2750000
MS,JONES,067,28,2007,243000,504000,12760000,3345000,36719000,644000,316000,4833000,152765000,80985000,1100000,3808000,3336000,463000,2873000,637000,3009000,528000,1705000,185000,492000,4068000,1259000,36075000
MS,JONES,067,28,2012,1617000,810000,3453000,5252000,43682000,1604000,551000,5934000,172111000,96575000,1162000,4242000,3682000,383000,3299000,1059000,2214000,847000,708000,317000,443000,5307000,1747000,42077000
MS,KEMPER,069,28,2007,125000,NA,1227000,840000,3011000,170000,124000,1367000,21713000,10019000,627000,986000,1195000,153000,1042000,NA,892000,689000,NA,191000,101000,1652000,684000,2841000
MS,KEMPER,069,28,2012,98000,2000,828000,937000,1260000,948000,88000,1136000,22587000,11485000,493000,1200000,469000,67000,402000,NA,137000,NA,224000,212000,110000,1268000,641000,312000
MS,LAFAYETTE,071,28,2007,91000,85000,729000,152000,537000,181000,779000,857000,10790000,1355000,1084000,816000,675000,141000,533000,174000,735000,167000,80000,305000,560000,1082000,1631000,357000
MS,LAFAYETTE,071,28,2012,179000,10000,510000,333000,538000,350000,541000,954000,9962000,1125000,1089000,883000,823000,270000,553000,368000,967000,452000,142000,339000,665000,839000,755000,189000
MS,LAMAR,073,28,2007,85000,17000,1355000,522000,3160000,371000,134000,2017000,20882000,7890000,1166000,1143000,814000,168000,645000,553000,1143000,305000,344000,256000,273000,1711000,659000,2789000
MS,LAMAR,073,28,2012,215000,8000,743000,738000,2645000,331000,242000,1936000,22252000,11170000,938000,888000,862000,174000,688000,360000,1008000,428000,189000,227000,416000,1037000,756000,2314000
MS,LAUDERDALE,075,28,2007,48000,56000,680000,247000,471000,166000,41000,793000,7095000,980000,528000,645000,343000,44000,299000,58000,967000,343000,106000,119000,407000,887000,619000,305000
MS,LAUDERDALE,075,28,2012,40000,54000,329000,234000,782000,360000,90000,737000,7506000,1612000,459000,683000,263000,27000,236000,261000,956000,130000,180000,74000,427000,701000,542000,422000
MS,LAWRENCE,077,28,2007,NA,NA,5582000,1277000,7898000,248000,156000,1803000,59305000,35902000,874000,1884000,1517000,303000,1214000,183000,605000,319000,123000,450000,329000,1752000,728000,7650000
MS,LAWRENCE,077,28,2012,600000,35000,857000,1289000,9119000,1201000,473000,2438000,61253000,40148000,1060000,1394000,1157000,173000,984000,352000,914000,449000,355000,473000,613000,2142000,627000,7917000
MS,LEAKE,079,28,2007,61000,49000,17756000,3412000,31986000,715000,277000,7691000,182645000,110487000,922000,4807000,4401000,303000,4098000,394000,2410000,457000,298000,417000,122000,3830000,1314000,31272000
MS,LEAKE,079,28,2012,3500000,95000,2063000,5132000,68860000,2058000,415000,6664000,230255000,129424000,597000,4011000,4587000,249000,4338000,345000,5346000,876000,695000,258000,134000,3907000,1580000,66803000
MS,LEE,081,28,2007,680000,10000,1351000,328000,1431000,179000,2107000,1846000,23018000,3429000,2487000,1809000,1141000,327000,814000,279000,1393000,559000,139000,1395000,2202000,2383000,594000,1252000
MS,LEE,081,28,2012,976000,29000,1533000,521000,591000,266000,2976000,2298000,31239000,2909000,4940000,2503000,1225000,241000,984000,208000,2179000,116000,644000,3363000,4336000,2020000,929000,325000
MS,LEFLORE,083,28,2007,2914000,6660000,10405000,6293000,NA,NA,17352000,8233000,155733000,26525000,14239000,11432000,3598000,2019000,1579000,NA,14682000,5331000,1854000,17074000,10882000,9950000,2295000,NA
MS,LEFLORE,083,28,2012,5503000,9758000,9158000,7020000,NA,NA,22400000,12795000,207547000,31041000,20856000,17518000,6292000,3815000,2476000,3382000,15308000,6479000,285000,23252000,19717000,12339000,NA,NA
MS,LINCOLN,085,28,2007,349000,6000,3791000,897000,7217000,515000,199000,3056000,47232000,24330000,1650000,1922000,1564000,198000,1366000,334000,1521000,635000,505000,192000,257000,2036000,968000,6701000
MS,LINCOLN,085,28,2012,781000,69000,1482000,1400000,8369000,614000,375000,2657000,58177000,35365000,1501000,1931000,1338000,135000,1202000,246000,1660000,798000,588000,257000,554000,1947000,902000,7754000
MS,LOWNDES,087,28,2007,301000,81000,947000,595000,2511000,256000,973000,1789000,22257000,5481000,2574000,1324000,1038000,369000,669000,176000,1462000,288000,232000,755000,1544000,1919000,575000,2255000
MS,LOWNDES,087,28,2012,1115000,279000,1743000,768000,2580000,182000,2847000,2625000,36201000,8627000,4767000,1974000,1271000,720000,551000,170000,1526000,344000,469000,2284000,2835000,2828000,587000,2398000
MS,MADISON,089,28,2007,532000,446000,1536000,469000,632000,465000,1655000,2741000,24748000,2258000,3282000,2213000,2030000,316000,1714000,188000,1967000,732000,277000,1821000,1828000,2737000,1153000,167000
MS,MADISON,089,28,2012,1054000,732000,1627000,603000,482000,337000,3017000,2900000,33286000,2850000,3939000,2798000,1679000,423000,1256000,405000,3256000,1607000,523000,2595000,3773000,2970000,1506000,145000
MS,MARION,091,28,2007,266000,25000,5087000,1422000,9095000,269000,207000,3656000,58062000,31963000,1376000,1863000,1234000,133000,1101000,342000,1393000,420000,162000,343000,308000,2443000,695000,8826000
MS,MARION,091,28,2012,738000,293000,972000,2129000,12148000,3227000,214000,4549000,83256000,55374000,1187000,2023000,1403000,199000,1203000,583000,2051000,1139000,282000,671000,303000,2240000,928000,8921000
MS,MARSHALL,093,28,2007,135000,110000,1362000,315000,315000,231000,741000,1865000,17824000,2394000,2675000,1545000,1617000,226000,1391000,175000,1353000,437000,207000,1280000,1137000,1538000,1132000,84000
MS,MARSHALL,093,28,2012,370000,NA,1445000,554000,1316000,1167000,2419000,3214000,29052000,NA,4126000,2255000,1597000,324000,1273000,218000,2928000,1558000,301000,2684000,2939000,2248000,1262000,150000
MS,MONROE,095,28,2007,264000,244000,1213000,691000,2802000,339000,1323000,2255000,24830000,3286000,3498000,2169000,1722000,698000,1024000,225000,972000,332000,184000,1302000,1609000,2412000,1098000,2463000
MS,MONROE,095,28,2012,706000,295000,1389000,822000,1993000,402000,2875000,3146000,38498000,5061000,5736000,2887000,2317000,808000,1510000,353000,2951000,547000,427000,2932000,3775000,3163000,1242000,1591000
MS,MONTGOMERY,097,28,2007,70000,49000,565000,205000,279000,182000,877000,1242000,12918000,4218000,1396000,939000,614000,203000,411000,108000,821000,537000,184000,367000,569000,1077000,763000,97000
MS,MONTGOMERY,097,28,2012,128000,74000,1008000,295000,2317000,288000,1126000,1464000,17977000,4608000,1969000,767000,882000,174000,707000,57000,1105000,327000,191000,642000,1281000,1028000,690000,2029000
MS,NESHOBA,099,28,2007,31000,255000,16863000,3147000,26709000,291000,237000,9054000,174556000,110671000,1171000,3735000,3724000,369000,3356000,539000,1966000,657000,261000,418000,183000,3407000,1500000,26419000
MS,NESHOBA,099,28,2012,1763000,42000,7444000,3990000,27048000,1634000,258000,9630000,184500000,126112000,782000,4137000,4447000,332000,4114000,581000,2600000,742000,564000,438000,191000,3490000,1180000,25414000
MS,NEWTON,101,28,2007,729000,266000,9564000,1963000,16617000,565000,214000,3609000,101707000,57476000,1406000,2900000,2109000,248000,1861000,217000,3190000,410000,330000,275000,419000,3141000,1222000,16051000
MS,NEWTON,101,28,2012,1111000,58000,1433000,2100000,11316000,1948000,386000,4051000,81942000,53101000,1519000,2740000,2147000,228000,1919000,178000,1767000,701000,414000,394000,534000,2124000,1034000,9368000
MS,NOXUBEE,103,28,2007,634000,329000,3124000,2414000,7135000,520000,2180000,4549000,54087000,14681000,4765000,2764000,2987000,1006000,1982000,604000,2939000,1680000,204000,1665000,2629000,4088000,1149000,6615000
MS,NOXUBEE,103,28,2012,2617000,525000,3911000,3609000,10214000,1819000,5481000,8884000,109714000,39369000,11535000,4728000,3995000,1236000,2758000,481000,3488000,1445000,524000,4183000,7113000,7173000,1292000,8396000
MS,OKTIBBEHA,105,28,2007,238000,85000,844000,250000,2349000,1023000,201000,1487000,14228000,4094000,904000,935000,924000,424000,499000,249000,833000,349000,115000,322000,222000,1225000,552000,1325000
MS,OKTIBBEHA,105,28,2012,258000,56000,801000,419000,1614000,571000,190000,1766000,16949000,7162000,578000,1091000,798000,193000,605000,44000,1423000,1010000,360000,418000,190000,1202000,702000,1043000
MS,PANOLA,107,28,2007,777000,484000,3366000,573000,4812000,NA,3871000,2870000,44049000,2325000,5938000,3668000,1909000,759000,1149000,127000,2510000,483000,244000,4191000,3894000,3451000,2153000,NA
MS,PANOLA,107,28,2012,2821000,375000,2675000,859000,1114000,437000,6720000,3948000,55895000,2209000,10349000,5288000,2349000,884000,1464000,322000,3728000,739000,624000,5721000,6391000,3365000,1610000,677000
MS,PEARL RIVER,109,28,2007,742000,192000,948000,506000,3316000,1112000,452000,3705000,22899000,3617000,2457000,1398000,1362000,225000,1137000,925000,2255000,1511000,276000,440000,641000,2632000,1014000,2204000
MS,PEARL RIVER,109,28,2012,538000,81000,1000000,736000,2386000,835000,447000,1932000,23258000,5101000,2064000,1405000,1681000,162000,1519000,NA,1539000,NA,398000,692000,620000,1822000,1281000,1551000
MS,PERRY,111,28,2007,171000,NA,1359000,315000,1559000,130000,351000,984000,15798000,7894000,823000,771000,595000,145000,450000,NA,337000,31000,79000,89000,265000,784000,328000,1429000
MS,PERRY,111,28,2012,416000,210000,900000,560000,2434000,492000,681000,2047000,21007000,9320000,884000,916000,1063000,258000,805000,702000,733000,NA,396000,172000,409000,1169000,437000,1942000
MS,PIKE,113,28,2007,239000,24000,5068000,1358000,22364000,1288000,157000,4820000,65302000,25324000,1531000,1947000,1325000,268000,1056000,163000,2014000,422000,181000,166000,205000,2770000,648000,21076000
MS,PIKE,113,28,2012,471000,19000,1256000,1611000,21507000,597000,217000,5181000,62451000,26594000,1151000,1816000,1167000,225000,941000,281000,2793000,406000,406000,372000,331000,2140000,726000,20910000
MS,PONTOTOC,115,28,2007,156000,NA,905000,225000,2971000,299000,602000,1539000,20173000,3463000,2499000,1640000,1433000,368000,1065000,NA,748000,204000,167000,249000,2130000,1873000,997000,2672000
MS,PONTOTOC,115,28,2012,211000,65000,1174000,513000,1196000,877000,1632000,3306000,23746000,2901000,2995000,2577000,1524000,279000,1245000,304000,2169000,525000,377000,784000,2230000,2244000,1227000,320000
MS,PRENTISS,117,28,2007,203000,NA,359000,190000,192000,131000,474000,793000,9527000,1005000,1248000,926000,498000,135000,364000,NA,712000,223000,50000,349000,1713000,1000000,566000,61000
MS,PRENTISS,117,28,2012,295000,31000,588000,175000,178000,139000,1034000,1609000,11264000,1024000,1878000,1220000,710000,201000,509000,84000,698000,300000,134000,723000,1030000,1002000,592000,39000
MS,QUITMAN,119,28,2007,1090000,NA,3737000,592000,NA,NA,7093000,2547000,50107000,47000,7014000,5167000,1741000,725000,1016000,418000,3272000,1462000,62000,7040000,7018000,3580000,1461000,NA
MS,QUITMAN,119,28,2012,1893000,1843000,3990000,1111000,NA,NA,11168000,5043000,67513000,NA,7668000,6481000,2615000,891000,1724000,402000,4007000,1617000,144000,10850000,8898000,5268000,1174000,NA
MS,RANKIN,121,28,2007,147000,24000,10078000,1802000,14058000,1241000,648000,3974000,103153000,59915000,1785000,2830000,2001000,375000,1626000,250000,2448000,1398000,236000,592000,855000,3703000,2019000,12816000
MS,RANKIN,121,28,2012,1040000,39000,1855000,1669000,11776000,1124000,786000,4262000,85026000,52343000,1616000,2958000,2296000,305000,1991000,211000,2262000,1038000,489000,1390000,1251000,2535000,999000,10652000
MS,SCOTT,123,28,2007,NA,NA,16283000,4093000,31717000,818000,324000,12346000,178144000,98011000,923000,4385000,2788000,397000,2392000,270000,5102000,2086000,403000,662000,289000,10788000,1405000,30898000
MS,SCOTT,123,28,2012,3960000,67000,2581000,4893000,70551000,1471000,553000,10924000,217247000,109738000,794000,4587000,3699000,458000,3241000,398000,7709000,3413000,659000,753000,407000,4912000,1646000,69079000
MS,SHARKEY,125,28,2007,1791000,2201000,5153000,1057000,NA,NA,11492000,4661000,69093000,NA,9140000,4601000,2585000,2019000,565000,210000,6575000,1285000,14000,10573000,6625000,4686000,986000,NA
MS,SHARKEY,125,28,2012,2758000,1845000,4877000,1689000,NA,NA,11246000,6262000,76989000,2241000,9145000,6433000,2460000,1707000,753000,515000,5353000,3050000,205000,12217000,10306000,5057000,NA,NA
MS,SIMPSON,127,28,2007,28000,124000,13683000,2606000,23931000,600000,265000,4802000,138241000,83461000,934000,3770000,2462000,149000,2313000,255000,2380000,743000,250000,227000,234000,2594000,1288000,23331000
MS,SIMPSON,127,28,2012,1484000,61000,2443000,3276000,31971000,2360000,501000,5742000,156163000,100089000,1055000,4092000,2345000,300000,2045000,443000,2858000,1053000,451000,628000,599000,3193000,1124000,29611000
MS,SMITH,129,28,2007,117000,57000,18566000,3313000,27676000,958000,313000,7274000,190251000,124504000,794000,4456000,3101000,275000,2826000,658000,1311000,472000,404000,536000,216000,3603000,1031000,26719000
MS,SMITH,129,28,2012,1938000,85000,2501000,4743000,29166000,2078000,390000,9424000,191107000,134274000,946000,4242000,3676000,412000,3264000,698000,2067000,696000,824000,518000,336000,4281000,1247000,27088000
MS,STONE,131,28,2007,NA,NA,677000,220000,883000,212000,301000,882000,8949000,1392000,956000,484000,404000,58000,346000,292000,1496000,NA,76000,60000,281000,967000,387000,670000
MS,STONE,131,28,2012,126000,11000,1608000,385000,1181000,820000,234000,1557000,13714000,2277000,1359000,688000,690000,53000,637000,74000,3024000,228000,96000,123000,639000,712000,584000,362000
MS,SUNFLOWER,133,28,2007,4514000,3607000,11054000,7016000,683000,199000,18932000,8474000,166196000,18131000,17601000,15205000,6358000,3402000,2956000,2364000,14296000,4841000,514000,19302000,12450000,13113000,1569000,484000
MS,SUNFLOWER,133,28,2012,7665000,7976000,13978000,6363000,927000,8000,27632000,16349000,224133000,14734000,25389000,22533000,5425000,2689000,2736000,910000,16729000,5993000,431000,29438000,25568000,16725000,2140000,920000
MS,TALLAHATCHIE,135,28,2007,1091000,2771000,6385000,1333000,89000,55000,10266000,5813000,78003000,362000,10898000,7093000,3124000,1557000,1567000,267000,5883000,1617000,298000,11664000,9128000,5835000,1813000,34000
MS,TALLAHATCHIE,135,28,2012,2401000,3000000,6623000,1918000,195000,149000,19125000,7223000,113926000,439000,17081000,11986000,4641000,2703000,1938000,384000,6598000,2694000,286000,14517000,15406000,7549000,2064000,46000
MS,TATE,137,28,2007,512000,135000,2555000,398000,2077000,867000,1936000,3164000,30894000,3049000,3837000,2683000,2396000,672000,1725000,172000,3075000,615000,241000,1297000,2511000,2962000,1298000,1210000
MS,TATE,137,28,2012,566000,178000,3061000,758000,2449000,812000,2291000,3299000,38064000,4711000,5043000,2781000,2288000,351000,1937000,234000,4118000,807000,438000,1803000,3354000,3125000,1302000,1637000
MS,TIPPAH,139,28,2007,158000,31000,721000,272000,2021000,NA,666000,1886000,18436000,4550000,2135000,1071000,1177000,208000,968000,34000,1125000,87000,126000,473000,2071000,1118000,814000,NA
MS,TIPPAH,139,28,2012,365000,107000,990000,387000,1591000,234000,695000,2800000,20247000,4392000,2592000,1448000,1313000,262000,1051000,231000,1645000,184000,518000,500000,1762000,1308000,920000,1358000
MS,TISHOMINGO,141,28,2007,26000,17000,318000,75000,567000,NA,158000,485000,4923000,1167000,495000,424000,271000,NA,NA,13000,130000,NA,62000,55000,226000,711000,269000,NA
MS,TISHOMINGO,141,28,2012,42000,NA,228000,100000,NA,135000,217000,581000,4297000,443000,460000,479000,234000,45000,190000,21000,205000,124000,75000,312000,444000,595000,313000,NA
MS,TUNICA,143,28,2007,2310000,NA,8798000,1477000,NA,NA,8953000,4477000,72971000,NA,7462000,5081000,2357000,1713000,644000,NA,7684000,1521000,79000,10395000,7673000,4955000,376000,NA
